x,y
-1.199999999999999956e-01,-4.499999806284904480e-02
-7.999999999999998779e-02,1.499999966472387314e-02
-3.999999999999999389e-02,1.499999966472387314e-02
0.000000000000000000e+00,-4.499999806284904480e-02
4.000000000000000777e-02,-4.499999806284904480e-02
8.000000000000001554e-02,-4.499999806284904480e-02
1.199999999999999956e-01,-4.499999806284904480e-02
-1.199999999999999956e-01,-4.499999806284904480e-02
-7.999999999999998779e-02,-4.499999806284904480e-02
-3.999999999999999389e-02,-4.499999806284904480e-02
0.000000000000000000e+00,-4.499999806284904480e-02
4.000000000000000777e-02,1.499999966472387314e-02
8.000000000000001554e-02,-4.499999806284904480e-02
1.199999999999999956e-01,-4.499999806284904480e-02
